id,datasetcycle_id,is_download,status,last_synced_at,source_file_version,source_file_size,chk_raw,chk_normalization,system_version,time_download,time_raw,time_normalization,records_raw,records_normalization,n_samples,n_variables,cycle,dataset
46,46,False,standby,2024-08-16 12:25:52.349670+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,LAB13AM
47,47,False,standby,2024-08-16 12:25:52.356065+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,LAB13AM
48,48,False,standby,2024-08-16 12:25:52.362704+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,LAB13AM
49,49,False,standby,2024-08-16 12:25:52.370873+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,LAB13AM
50,50,False,standby,2024-08-16 12:25:52.376999+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,LAB13AM
51,51,False,standby,2024-08-16 12:25:52.383376+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DR1IFF
52,52,False,standby,2024-08-16 12:25:52.389382+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DR1IFF
53,53,False,standby,2024-08-16 12:25:52.396006+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DR1IFF
54,54,False,standby,2024-08-16 12:25:52.403376+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DR1IFF
55,55,False,standby,2024-08-16 12:25:52.410812+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DR1IFF
56,56,False,standby,2024-08-16 12:25:52.416613+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DR1IFF
57,57,False,standby,2024-08-16 12:25:52.422747+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DR1IFF
58,58,False,standby,2024-08-16 12:25:52.428794+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DR1IFF
59,59,False,standby,2024-08-16 12:25:52.435377+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DR1IFF
60,60,False,standby,2024-08-16 12:25:52.440901+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DR1IFF
61,61,False,standby,2024-08-16 12:25:52.446573+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DR2IFF
62,62,False,standby,2024-08-16 12:25:52.451222+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DR2IFF
63,63,False,standby,2024-08-16 12:25:52.456478+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DR2IFF
