id,cycle,base_dir,year_code,base_url,dataset_url_pattern
1,2017-2018,downloads,A,https://wwwn.cdc.gov/Nchs/Nhanes,%s/%s/%s
2,2019-2020,downloads,B,https://wwwn.cdc.gov/Nchs/Nhanes,%s/%s/%s
